Снижение кол-ва датчиков в процентах: 10
Кол-во автобусов: 30
Кол-во итераций: 100
При пройденном расстоянии: 2000
Найдено: 56
Среднее: 83
Процент успеха: 56
Процент неудач: 44
Цикл 1
0 : Ничего
1 : 225
2 : Ничего
3 : Ничего
4 : Ничего
5 : 175
6 : Ничего
7 : 175
8 : 200
9 : 225
10 : 225
11 : 200
12 : Ничего
13 : Ничего
14 : Ничего
15 : 150
16 : Ничего
17 : 100
18 : 150
19 : Ничего
20 : 125
21 : Ничего
22 : Ничего
23 : Ничего
24 : Ничего
25 : 75
26 : Ничего
27 : Ничего
28 : 175
29 : 125
30 : 75
31 : Ничего
32 : Ничего
33 : Ничего
34 : 150
35 : 100
36 : Ничего
37 : Ничего
38 : Ничего
39 : 200
40 : 75
41 : 100
42 : Ничего
43 : 100
44 : 150
45 : Ничего
46 : 150
47 : Ничего
48 : Ничего
49 : 150
50 : 100
51 : 150
52 : 175
53 : Ничего
54 : 225
55 : Ничего
56 : Ничего
57 : 100
58 : Ничего
59 : Ничего
60 : 125
61 : 225
62 : 100
63 : 200
64 : 125
65 : 225
66 : 225
67 : Ничего
68 : Ничего
69 : Ничего
70 : Ничего
71 : Ничего
72 : 100
73 : 75
74 : 100
75 : 150
76 : 100
77 : Ничего
78 : Ничего
79 : Ничего
80 : 125
81 : 175
82 : Ничего
83 : 175
84 : 175
85 : 100
86 : 75
87 : 175
88 : 225
89 : Ничего
90 : Ничего
91 : 100
92 : Ничего
93 : Ничего
94 : 225
95 : 125
96 : 150
97 : 125
98 : 150
99 : 200
