Снижение кол-ва датчиков в процентах
20
Кол-во итераций 100
При скорости 200
Найдено: 48
Среднее: 12
Цикл: 2
0 : Nothing
1 : 53
2 : 18
3 : Nothing
4 : Nothing
5 : 53
6 : Nothing
7 : 25
8 : Nothing
9 : 48
10 : Nothing
11 : 9
12 : 9
13 : Nothing
14 : 19
15 : 14
16 : 23
17 : Nothing
18 : 48
19 : 58
20 : 44
21 : Nothing
22 : 19
23 : 15
24 : Nothing
25 : Nothing
26 : 6
27 : Nothing
28 : Nothing
29 : Nothing
30 : Nothing
31 : Nothing
32 : Nothing
33 : Nothing
34 : Nothing
35 : 10
36 : Nothing
37 : 18
38 : 14
39 : 23
40 : Nothing
41 : Nothing
42 : Nothing
43 : 54
44 : 2
45 : 24
46 : Nothing
47 : Nothing
48 : Nothing
49 : Nothing
50 : Nothing
51 : Nothing
52 : 13
53 : Nothing
54 : Nothing
55 : 8
56 : 19
57 : Nothing
58 : 53
59 : 54
60 : Nothing
61 : Nothing
62 : 43
63 : 35
64 : Nothing
65 : 15
66 : Nothing
67 : Nothing
68 : Nothing
69 : 5
70 : Nothing
71 : 44
72 : Nothing
73 : Nothing
74 : 11
75 : Nothing
76 : 41
77 : 5
78 : Nothing
79 : 16
80 : Nothing
81 : 23
82 : 18
83 : Nothing
84 : Nothing
85 : 11
86 : Nothing
87 : Nothing
88 : 43
89 : Nothing
90 : Nothing
91 : 9
92 : 32
93 : 63
94 : 17
95 : Nothing
96 : 30
97 : 22
98 : 8
99 : Nothing
