Снижение кол-ва датчиков в процентах: 30
Кол-во автобусов: 37
Кол-во итераций: 100
При T равном: 5000 сек (83 мин)
Найдено: 99
Среднее: 45 мин 27 сек
Процент успеха: 99
Процент неудач: 1
Цикл 3
0 : 42 мин 20 сек
1 : 45 мин 40 сек
2 : 47 мин 20 сек
3 : 31 мин 40 сек
4 : 82 мин 20 сек
5 : 9 мин 0 сек
6 : 49 мин 20 сек
7 : 50 мин 20 сек
8 : 20 мин 20 сек
9 : 82 мин 40 сек
10 : 79 мин 20 сек
11 : 40 мин 0 сек
12 : 57 мин 0 сек
13 : 44 мин 0 сек
14 : 9 мин 40 сек
15 : 25 мин 20 сек
16 : 60 мин 0 сек
17 : 50 мин 0 сек
18 : 16 мин 20 сек
19 : 52 мин 20 сек
20 : 62 мин 0 сек
21 : 40 мин 20 сек
22 : 49 мин 20 сек
23 : 56 мин 0 сек
24 : 48 мин 40 сек
25 : 51 мин 0 сек
26 : 20 мин 20 сек
27 : 61 мин 20 сек
28 : 38 мин 40 сек
29 : 5 мин 40 сек
30 : 63 мин 0 сек
31 : 61 мин 40 сек
32 : 37 мин 0 сек
33 : 52 мин 40 сек
34 : 49 мин 20 сек
35 : 16 мин 0 сек
36 : 3 мин 0 сек
37 : 44 мин 20 сек
38 : 56 мин 40 сек
39 : 44 мин 20 сек
40 : 74 мин 20 сек
41 : 74 мин 40 сек
42 : 27 мин 0 сек
43 : 47 мин 40 сек
44 : 73 мин 20 сек
45 : 75 мин 0 сек
46 : 44 мин 40 сек
47 : 63 мин 20 сек
48 : 41 мин 20 сек
49 : 11 мин 20 сек
50 : 40 мин 20 сек
51 : 12 мин 40 сек
52 : 62 мин 20 сек
53 : 67 мин 20 сек
54 : 68 мин 20 сек
55 : 41 мин 0 сек
56 : 40 мин 20 сек
57 : Не найдено
58 : 54 мин 0 сек
59 : 61 мин 0 сек
60 : 11 мин 40 сек
61 : 43 мин 40 сек
62 : 52 мин 0 сек
63 : 71 мин 0 сек
64 : 51 мин 40 сек
65 : 3 мин 40 сек
66 : 19 мин 20 сек
67 : 51 мин 0 сек
68 : 47 мин 0 сек
69 : 81 мин 40 сек
70 : 73 мин 0 сек
71 : 29 мин 40 сек
72 : 36 мин 20 сек
73 : 48 мин 0 сек
74 : 58 мин 0 сек
75 : 40 мин 40 сек
76 : 20 мин 0 сек
77 : 33 мин 40 сек
78 : 42 мин 0 сек
79 : 40 мин 40 сек
80 : 42 мин 40 сек
81 : 59 мин 0 сек
82 : 50 мин 20 сек
83 : 66 мин 40 сек
84 : 50 мин 40 сек
85 : 16 мин 20 сек
86 : 49 мин 40 сек
87 : 24 мин 20 сек
88 : 2 мин 20 сек
89 : 61 мин 40 сек
90 : 77 мин 20 сек
91 : 52 мин 40 сек
92 : 4 мин 0 сек
93 : 40 мин 20 сек
94 : 41 мин 20 сек
95 : 44 мин 20 сек
96 : 73 мин 20 сек
97 : 56 мин 40 сек
98 : 23 мин 40 сек
99 : 71 мин 40 сек
